year,state,state_po,county_name,county_fips,candidate,party,candidatevotes
2000,ALABAMA,AL,Autauga,1001,GEORGE W. BUSH,REPUBLICAN,11993
2000,ALABAMA,AL,Baldwin,1003,GEORGE W. BUSH,REPUBLICAN,40872
2000,ALABAMA,AL,Barbour,1005,AL GORE,DEMOCRAT,5188
2000,ALABAMA,AL,Bibb,1007,GEORGE W. BUSH,REPUBLICAN,4273
2000,ALABAMA,AL,Blount,1009,GEORGE W. BUSH,REPUBLICAN,12667
2000,ALABAMA,AL,Bullock,1011,AL GORE,DEMOCRAT,3395
2000,ALABAMA,AL,Butler,1013,GEORGE W. BUSH,REPUBLICAN,4127
2000,ALABAMA,AL,Calhoun,1015,GEORGE W. BUSH,REPUBLICAN,22306
2000,ALABAMA,AL,Chambers,1017,GEORGE W. BUSH,REPUBLICAN,6037
2000,ALABAMA,AL,Cherokee,1019,GEORGE W. BUSH,REPUBLICAN,4154
2000,ALABAMA,AL,Chilton,1021,GEORGE W. BUSH,REPUBLICAN,10066
2000,ALABAMA,AL,Choctaw,1023,AL GORE,DEMOCRAT,3707
2000,ALABAMA,AL,Clarke,1025,GEORGE W. BUSH,REPUBLICAN,5988
2000,ALABAMA,AL,Clay,1027,GEORGE W. BUSH,REPUBLICAN,3719
2000,ALABAMA,AL,Cleburne,1029,GEORGE W. BUSH,REPUBLICAN,3333
2000,ALABAMA,AL,Coffee,1031,GEORGE W. BUSH,REPUBLICAN,9938
2000,ALABAMA,AL,Colbert,1033,AL GORE,DEMOCRAT,10543
2000,ALABAMA,AL,Conecuh,1035,AL GORE,DEMOCRAT,2783
2000,ALABAMA,AL,Coosa,1037,GEORGE W. BUSH,REPUBLICAN,2382
2000,ALABAMA,AL,Covington,1039,GEORGE W. BUSH,REPUBLICAN,8961
2000,ALABAMA,AL,Crenshaw,1041,GEORGE W. BUSH,REPUBLICAN,2793
2000,ALABAMA,AL,Cullman,1043,GEORGE W. BUSH,REPUBLICAN,19157
2000,ALABAMA,AL,Dale,1045,GEORGE W. BUSH,REPUBLICAN,10593
2000,ALABAMA,AL,Dallas,1047,AL GORE,DEMOCRAT,10967
2000,ALABAMA,AL,Dekalb,1049,GEORGE W. BUSH,REPUBLICAN,12827
2000,ALABAMA,AL,Elmore,1051,GEORGE W. BUSH,REPUBLICAN,16777
2000,ALABAMA,AL,Escambia,1053,GEORGE W. BUSH,REPUBLICAN,6975
2000,ALABAMA,AL,Etowah,1055,GEORGE W. BUSH,REPUBLICAN,21087
2000,ALABAMA,AL,Fayette,1057,GEORGE W. BUSH,REPUBLICAN,4582
2000,ALABAMA,AL,Franklin,1059,GEORGE W. BUSH,REPUBLICAN,6119
2000,ALABAMA,AL,Geneva,1061,GEORGE W. BUSH,REPUBLICAN,6588
2000,ALABAMA,AL,Greene,1063,AL GORE,DEMOCRAT,3504
2000,ALABAMA,AL,Hale,1065,AL GORE,DEMOCRAT,4652
2000,ALABAMA,AL,Henry,1067,GEORGE W. BUSH,REPUBLICAN,4054
2000,ALABAMA,AL,Houston,1069,GEORGE W. BUSH,REPUBLICAN,22150
2000,ALABAMA,AL,Jackson,1071,AL GORE,DEMOCRAT,9066
2000,ALABAMA,AL,Jefferson,1073,GEORGE W. BUSH,REPUBLICAN,138491
2000,ALABAMA,AL,Lamar,1075,GEORGE W. BUSH,REPUBLICAN,4470
2000,ALABAMA,AL,Lauderdale,1077,GEORGE W. BUSH,REPUBLICAN,17478
2000,ALABAMA,AL,Lawrence,1079,AL GORE,DEMOCRAT,6296
2000,ALABAMA,AL,Lee,1081,GEORGE W. BUSH,REPUBLICAN,22433
2000,ALABAMA,AL,Limestone,1083,GEORGE W. BUSH,REPUBLICAN,14204
2000,ALABAMA,AL,Lowndes,1085,AL GORE,DEMOCRAT,4557
2000,ALABAMA,AL,Macon,1087,AL GORE,DEMOCRAT,7665
2000,ALABAMA,AL,Madison,1089,GEORGE W. BUSH,REPUBLICAN,62151
2000,ALABAMA,AL,Marengo,1091,AL GORE,DEMOCRAT,4841
2000,ALABAMA,AL,Marion,1093,GEORGE W. BUSH,REPUBLICAN,6910
2000,ALABAMA,AL,Marshall,1095,GEORGE W. BUSH,REPUBLICAN,17084
2000,ALABAMA,AL,Mobile,1097,GEORGE W. BUSH,REPUBLICAN,78162
2000,ALABAMA,AL,Monroe,1099,GEORGE W. BUSH,REPUBLICAN,5153
2000,ALABAMA,AL,Montgomery,1101,AL GORE,DEMOCRAT,40371
2000,ALABAMA,AL,Morgan,1103,GEORGE W. BUSH,REPUBLICAN,25774
2000,ALABAMA,AL,Perry,1105,AL GORE,DEMOCRAT,4020
2000,ALABAMA,AL,Pickens,1107,GEORGE W. BUSH,REPUBLICAN,4306
